Name;Size;City;Distribution;Clusters;Density;Horizon;Time Window;Service Time;Capacity;Depot
bar-n100-1;100;Barcelona;random-cluster;7;1.5;240;120;5;300;random
bar-n100-2;100;Barcelona;cluster;7;1.2;480;120;15;100;random
bar-n100-3;100;Barcelona;random;-;-;240;120;5;300;central
bar-n100-4;100;Barcelona;random;-;-;240;60;15;300;random
bar-n100-5;100;Barcelona;random;-;-;480;120;15;100;random
bar-n100-6;100;Barcelona;random;-;-;480;120;5;300;random
ber-n100-1;100;Berlin;random-cluster;3;0.8;240;60;10;300;random
ber-n100-2;100;Berlin;random-cluster;4;1.1;480;120;10;100;random
ber-n100-3;100;Berlin;cluster;7;1.0;480;120;5;100;central
ber-n100-4;100;Berlin;cluster;3;1.6;480;120;5;300;random
ber-n100-5;100;Berlin;cluster;3;0.8;480;60;10;100;random
ber-n100-6;100;Berlin;random;-;-;240;60;10;300;central
ber-n100-7;100;Berlin;random;-;-;480;60;5;100;central
nyc-n100-1;100;New-York;random;-;-;240;30;2;6;central
nyc-n100-2;100;New-York;random;-;-;240;60;2;6;central
nyc-n100-3;100;New-York;random;-;-;240;60;2;6;random
nyc-n100-4;100;New-York;random;-;-;480;120;2;6;central
nyc-n100-5;100;New-York;random;-;-;480;60;2;6;random
poa-n100-1;100;Porto-Alegre;random-cluster;6;1.6;240;60;10;100;central
poa-n100-2;100;Porto-Alegre;random-cluster;4;1.3;240;60;15;300;central
poa-n100-3;100;Porto-Alegre;random-cluster;7;1.5;240;60;10;300;random
poa-n100-4;100;Porto-Alegre;random-cluster;8;0.9;480;60;15;100;random
poa-n100-5;100;Porto-Alegre;cluster;5;1.0;240;60;5;300;central
poa-n100-6;100;Porto-Alegre;cluster;3;1.1;480;120;5;100;central
poa-n100-7;100;Porto-Alegre;cluster;6;1.5;480;60;15;100;central
bar-n200-1;200;Barcelona;random-cluster;7;1.0;240;60;15;100;random
bar-n200-2;200;Barcelona;random-cluster;7;1.5;240;60;15;300;random
bar-n200-3;200;Barcelona;random-cluster;3;1.5;480;60;10;100;random
bar-n200-4;200;Barcelona;cluster;4;0.9;240;120;10;300;central
bar-n200-5;200;Barcelona;cluster;3;0.9;480;120;5;100;central
bar-n200-6;200;Barcelona;cluster;3;1.3;480;120;15;100;random
bar-n200-7;200;Barcelona;random;-;-;480;60;15;300;central
ber-n200-1;200;Berlin;random-cluster;6;1.5;240;120;15;300;central
ber-n200-2;200;Berlin;random-cluster;8;1.2;480;60;10;300;central
ber-n200-3;200;Berlin;cluster;6;1.2;240;120;5;300;central
ber-n200-4;200;Berlin;cluster;5;1.5;480;120;5;300;central
ber-n200-5;200;Berlin;random;-;-;240;60;10;300;central
ber-n200-6;200;Berlin;random;-;-;480;120;5;100;central
nyc-n200-1;200;New-York;random;-;-;240;120;2;6;random
nyc-n200-2;200;New-York;random;-;-;240;30;2;6;central
nyc-n200-3;200;New-York;random;-;-;240;60;2;6;random
nyc-n200-4;200;New-York;random;-;-;480;120;2;6;random
nyc-n200-5;200;New-York;random;-;-;480;30;2;6;central
poa-n200-1;200;Porto-Alegre;random-cluster;3;0.8;240;60;15;300;random
poa-n200-2;200;Porto-Alegre;random-cluster;4;1.1;480;120;15;100;random
poa-n200-3;200;Porto-Alegre;cluster;6;1.1;240;120;15;100;random
poa-n200-4;200;Porto-Alegre;cluster;7;1.0;240;60;5;300;random
poa-n200-5;200;Porto-Alegre;random;-;-;240;120;5;300;central
poa-n200-6;200;Porto-Alegre;random;-;-;240;60;15;100;random
poa-n200-7;200;Porto-Alegre;random;-;-;480;60;10;100;random
bar-n400-1;400;Barcelona;random-cluster;5;0.7;240;120;10;100;random
bar-n400-2;400;Barcelona;random-cluster;3;1.0;240;120;10;300;random
bar-n400-3;400;Barcelona;random-cluster;8;0.9;480;60;5;100;central
bar-n400-4;400;Barcelona;cluster;3;1.0;240;60;5;100;random
bar-n400-5;400;Barcelona;random;-;-;240;120;15;100;random
bar-n400-6;400;Barcelona;random;-;-;480;120;15;300;central
bar-n400-7;400;Barcelona;random;-;-;480;60;5;300;central
ber-n400-1;400;Berlin;random-cluster;3;1.0;240;120;5;100;random
ber-n400-2;400;Berlin;random-cluster;5;1.0;240;120;5;300;random
ber-n400-3;400;Berlin;cluster;4;1.6;240;60;15;100;random
ber-n400-4;400;Berlin;cluster;3;1.1;480;60;15;100;central
ber-n400-5;400;Berlin;random;-;-;480;120;15;300;central
ber-n400-6;400;Berlin;random;-;-;480;60;5;100;central
