instance;size;vehicles;cost;reference;date
bar-n1500-5;1500;74;9578;VACS;11-jul-23
bar-n3000-3;3000;55;10439;VACS;11-jul-23
bar-n600-1;600;43;3680;VACS;11-jul-23
bar-n600-3;600;22;3852;CH;07-dec-24
bar-n600-2;600;22;3941;CH;07-dec-24
bar-n600-5;600;13;2568;CH;07-dec-24
bar-n600-4;600;53;2776;CH;07-dec-24
bar-n600-7;600;31;4826;CH;07-dec-24
bar-n600-6;600;32;4874;CH;07-dec-24
ber-n400-3;400;42;3491;CH;07-dec-24
ber-n400-2;400;33;5494;CH;07-dec-24
ber-n400-1;400;34;5569;CH;07-dec-24
ber-n2500-2;2500;133;37471;HS;30-apr-24
ber-n400-7;400;20;6501;VRt;03-jul-23
ber-n400-6;400;19;6280;VACS;11-jul-23
ber-n400-5;400;26;5918;HS;30-apr-24
poa-n1500-2;1500;195;22755;HS;30-apr-24
nyc-n1000-2;1000;31;4872;VACS;11-jul-23
ber-n2500-4;2500;178;16234;VACS;11-jul-23
bar-n800-5;800;80;6118;VACS;11-jul-23
ber-n2000-5;2000;134;32795;Shobb;24-feb-25
poa-n4000-1;4000;476;51558;HS;30-apr-24
poa-n4000-3;4000;182;23460;VRt;09-jul-23
poa-n4000-2;4000;475;51331;HS;30-apr-24
poa-n4000-5;4000;372;47263;HS;30-apr-24
poa-n4000-4;4000;342;39296;VACS;11-jul-23
poa-n4000-7;4000;130;41384;HS;30-apr-24
poa-n4000-6;4000;503;53400;VACS;11-jul-23
bar-n5000-5;5000;372;35927;VRt;09-jul-23
bar-n5000-4;5000;528;45963;VACS;11-jul-23
bar-n5000-6;5000;245;31759;VACS;11-jul-23
bar-n5000-1;5000;207;23022;VRt;09-jul-23
bar-n5000-3;5000;238;30432;VACS;11-jul-23
bar-n5000-2;5000;87;15447;VACS;11-jul-23
ber-n4000-6;4000;300;51323;HS;30-apr-24
ber-n4000-7;4000;146;48725;HS;30-apr-24
ber-n4000-4;4000;170;18802;VACS;11-jul-23
ber-n4000-5;4000;138;23261;VACS;11-jul-23
ber-n4000-2;4000;380;27380;VACS;11-jul-23
ber-n4000-3;4000;130;20807;VRt;09-jul-23
